"tag","synonyms","mustInclude","domain","folder","active"
"Anaerobic granular sludge stability","granular sludge brewery,UASB granulation,anaerobic granule stability,granule disintegration,high-rate anaerobic granules","anaerobic sludge,granules","Water & Environment","Water & Environment","true"
"Direct interspecies electron transfer enhancement","DIET anaerobic digestion,magnetite anaerobic digestion,conductive materials biogas,biochar DIET,microbial electron transfer methane","anaerobic digestion,DIET","Water & Environment","Water & Environment","true"
"Co-digestion of BSG and brewery wastewater","spent grain wastewater co-digestion,brewery waste codigestion,C/N balancing anaerobic digestion,solid liquid co-digestion brewery,biomethane BSG wastewater","brewers spent grain,wastewater","Water & Environment","Water & Environment","true"
"Digestate valorization from brewery AD","brewery digestate,biofertilizer digestate,nutrient recovery digestate,digestate dewatering brewery,agronomic use digestate","digestate,biofertilizer","Water & Environment","Water & Environment","true"
"Water reuse for brewery utilities","reuse water brewery,CIP rinse water reuse,cooling water reuse brewery,non-potable reuse brewery,treated effluent reuse","water reuse,brewery","Water & Environment","Water & Environment","true"
"Continuous beer fermentation with immobilized yeast","immobilized yeast continuous beer,packed bed yeast reactor,gas-lift beer fermentation,continuous primary fermentation,yeast carrier spent grain","continuous fermentation,yeast","Brewing & Process","Brewing & Process","true"
"Yeast immobilization carriers from byproducts","spent grain yeast carrier,corncob carrier yeast,natural carriers immobilization,low cost immobilization carrier,brewery byproduct carrier","yeast immobilization,carrier","Brewing & Process","Brewing & Process","true"
"Residence time distribution in beer bioreactors","RTD bioreactor brewing,hydraulic residence time fermentation,plug flow deviation reactor,reactor hydrodynamics beer,continuous reactor RTD","bioreactor,residence time","Brewing & Process","Brewing & Process","true"
"CO2 stripping control in continuous fermentation","CO2 removal bioreactor,gas stripping fermentation,carbon dioxide inhibition yeast,degassing continuous fermentation,gas-liquid mass transfer beer","CO2,fermentation","Brewing & Process","Brewing & Process","true"
"High-cell-density yeast fermentation","high biomass yeast fermentation,cell retention yeast,yeast perfusion fermentation,membrane cell recycle yeast,high productivity ethanol beer","yeast,high cell density","Brewing & Process","Brewing & Process","true"
"Chemostat physiology of brewing yeast","chemostat yeast physiology,steady-state brewing yeast,dilution rate yeast,continuous culture Saccharomyces,yeast metabolism chemostat","chemostat,yeast","Brewing & Process","Brewing & Process","true"
"Bioreactor oxygen transfer and kLa","oxygen transfer fermentation,kLa bioreactor,volumetric oxygen transfer,OTR yeast fermentation,aeration strategy bioreactor","oxygen transfer,kLa","Brewing & Process","Brewing & Process","true"
"Foam and gas-liquid management in bioreactors","bioreactor foaming,antifoam fermentation,gas-liquid separation fermentation,foam control yeast reactor,CO2 foam fermentation","bioreactor,foam","Brewing & Process","Brewing & Process","true"
"Scale-down models for fermentation development","scale-down fermentation,industrial mimic bioreactor,stress gradients bioreactor,scale-down simulator,heterogeneity fermentation scale-up","fermentation,scale-down","Brewing & Process","Brewing & Process","true"
"Automated mini-bioreactor screening","mini bioreactor fermentation,parallel fermentation screening,robotic bioreactor platform,high-throughput fermentation,automated strain screening","bioreactor,automation","Analytics & Digital","Analytics & Digital","true"
"Self-driving fermentation labs","self-driving lab fermentation,autonomous bioprocess optimization,closed-loop fermentation,AI-guided bioprocess,robotic fermentation optimization","fermentation,automation","Analytics & Digital","Analytics & Digital","true"
"Soft sensors for fermentation metabolites","soft sensor fermentation,virtual sensor bioprocess,metabolite prediction fermentation,online biomass estimation,hybrid model fermentation","soft sensor,fermentation","Analytics & Digital","Analytics & Digital","true"
"Model predictive control of fermentation","MPC fermentation,model predictive control bioreactor,closed-loop bioprocess control,dynamic optimization fermentation,control strategy bioreactor","fermentation,MPC","Analytics & Digital","Analytics & Digital","true"
"Hybrid mechanistic-ML fermentation models","hybrid model fermentation,mechanistic machine learning bioprocess,physics-informed fermentation model,digital bioprocess model,grey-box fermentation","fermentation,modeling","Analytics & Digital","Analytics & Digital","true"
"Metabolomics of functional fermented beverages","fermented beverage metabolomics,LC-MS functional beverage,GC-MS fermentation metabolites,bioactive metabolite profiling,untargeted metabolomics beverage","metabolomics,beverage","Biotech Applied","Biotech Applied","true"
"Ergothioneine production by fermentation","ergothioneine biosynthesis,microbial ergothioneine production,functional antioxidant fermentation,yeast ergothioneine,health ingredient fermentation","ergothioneine,fermentation","Biotech Applied","Biotech Applied","true"
"Melatonin and tryptophan metabolites in fermented drinks","melatonin fermented beverage,tryptophan metabolism fermentation,indole derivatives food,serotonin pathway microbes,tryptophan bioactives beverage","tryptophan,fermentation","Biotech Applied","Biotech Applied","true"
"Exopolysaccharides for beverage mouthfeel","microbial EPS beverage,dextran fermentation mouthfeel,ropy lactic acid bacteria,exopolysaccharide texture drink,EPS functional beverage","exopolysaccharide,beverage","Biotech Applied","Biotech Applied","true"
"B-vitamin enrichment by fermentation","riboflavin producing microbes,folate fermentation,vitamin B12 microbial fermentation,thiamine fermented beverage,B-vitamin biofortification","vitamin B,fermentation","Biotech Applied","Biotech Applied","true"
"Food-grade fungal enzyme production","fungal enzyme fermentation,Aspergillus enzyme production,food-grade enzymes SSF,xylanase cellulase protease fungi,enzyme production agroresidues","fungal enzyme,food","Biotech Applied","Biotech Applied","true"
"Non-Saccharomyces low-alcohol beer yeasts","maltose-negative non-Saccharomyces,Crabtree-negative yeast beer,Pichia kluyveri low alcohol,Torulaspora low alcohol,Mrakia beer fermentation","non-Saccharomyces,low alcohol","Biotech Applied","Biotech Applied","true"
"Yeast beta-lyase activity screening","beta-lyase yeast,thiol release screening,IRC7 activity,volatile thiol liberation,yeast aroma enzyme screening","yeast,beta-lyase","Biotech Applied","Biotech Applied","true"
"Microbial cell factories for terpenes","terpene fermentation,monoterpene biosynthesis yeast,geraniol microbial production,linalool fermentation,isoprenoid cell factory","terpene,cell factory","Biotech Applied","Biotech Applied","true"
"Microbial production of bitter compounds","bitter compound fermentation,hop acid biosynthesis microbes,iso-alpha acid alternative,microbial bittering ingredient,fermentation-derived bittering","bitter,fermentation","Biotech Applied","Biotech Applied","true"
"Precision fermentation downstream purification","protein purification fermentation,downstream processing precision fermentation,cell removal fermentation,ultrafiltration recombinant protein,food ingredient purification","precision fermentation,downstream","Biotech Applied","Biotech Applied","true"
"Food safety assessment for precision fermentation strains","production strain safety,QPS fermentation strain,GRAS microbial host,genetically engineered strain safety,precision fermentation risk assessment","precision fermentation,safety","Biotech Applied","Biotech Applied","true"
"Host selection for precision fermentation","Komagataella phaffii food,Pichia pastoris protein production,Bacillus subtilis secretion,Kluyveromyces lactis host,Yarrowia lipolytica cell factory","precision fermentation,host","Biotech Applied","Biotech Applied","true"
"Fermentation-derived oligosaccharides","microbial oligosaccharide production,HMO precision fermentation,galacto-oligosaccharide enzyme synthesis,prebiotic oligosaccharide fermentation,fructo-oligosaccharides microbial","oligosaccharide,fermentation","Biotech Applied","Biotech Applied","true"
"Biogenic amine control in fermented beverages","histamine fermented beverage,tyramine control fermentation,biogenic amines LAB,decarboxylase-negative strains,amine reduction beverage","biogenic amine,beverage","Biotech Applied","Biotech Applied","true"
"Fungal safety and mycotoxin control in SSF","mycotoxin-free SSF,food-grade filamentous fungi,Aspergillus safety fermentation,fungal toxin monitoring SSF,safe mycoprotein production","fungal fermentation,safety","Biotech Applied","Biotech Applied","true"
